Angle, DMagnitude, X, Y, Z
-4.40, 0.00,0.25,0.01,-0.46
-4.45, 0.37,-0.01,0.01,-0.20
-4.67, 0.00,-0.01,0.01,-0.20
-4.77, 0.29,-0.01,0.14,-0.46
-4.92, 0.00,-0.01,0.14,-0.46
-4.99, 0.22,0.12,0.01,-0.33
-5.12, 0.00,0.12,0.01,-0.33
-5.18, 0.13,0.12,0.01,-0.46
-5.28, 0.00,0.12,0.01,-0.46
-5.32, 0.22,0.25,0.14,-0.33
-5.38, 0.00,0.25,0.14,-0.33
-5.41, 0.18,0.12,0.01,-0.33
-5.45, 0.00,0.12,0.01,-0.33
-5.46, 0.26,0.12,0.27,-0.33
-5.49, 0.00,0.12,0.27,-0.33
-5.50, 0.29,0.12,0.14,-0.59
-5.50, 0.00,0.12,0.14,-0.59
-5.50, 0.13,0.12,0.01,-0.59
-5.49, 0.00,0.12,0.01,-0.59
-5.49, 0.37,-0.14,0.01,-0.33
-5.49, 0.00,-0.14,0.01,-0.33
-5.49, 0.29,0.12,0.01,-0.46
-5.49, 0.00,0.12,0.01,-0.46
-5.49, 0.13,0.12,0.01,-0.33
-5.49, 0.00,0.12,0.01,-0.33
-5.49, 0.00,0.12,0.01,-0.33
-5.49, 0.00,0.12,0.01,-0.33
-5.49, 0.18,-0.01,0.14,-0.33
-5.49, 0.00,-0.01,0.14,-0.33
-5.49, 0.18,0.12,0.01,-0.33
-5.49, 0.00,0.12,0.01,-0.33
