DMagnitude,X,Y,Z
0.00,0.12,0.26,-0.47
0.13,0.12,0.26,-0.60
0.00,0.12,0.26,-0.60
0.00,0.12,0.26,-0.60
0.00,0.12,0.26,-0.60
0.18,-0.01,0.39,-0.60
0.00,-0.01,0.39,-0.60
0.29,0.25,0.39,-0.73
0.00,0.25,0.39,-0.73
0.32,-0.01,0.52,-0.60
0.00,-0.01,0.52,-0.60
0.18,-0.01,0.39,-0.73
0.00,-0.01,0.39,-0.73
0.18,0.12,0.39,-0.60
0.00,0.12,0.39,-0.60
0.18,-0.01,0.39,-0.47
0.00,-0.01,0.39,-0.47
0.18,-0.14,0.39,-0.60
0.00,-0.14,0.39,-0.60
0.26,0.12,0.39,-0.60
0.00,0.12,0.39,-0.60
0.22,-0.01,0.52,-0.73
0.00,-0.01,0.52,-0.73
0.18,-0.01,0.39,-0.60
0.00,-0.01,0.39,-0.60
0.29,0.25,0.39,-0.73
0.00,0.25,0.39,-0.73
0.18,0.25,0.26,-0.60
0.00,0.25,0.26,-0.60
0.32,-0.01,0.39,-0.47
0.00,-0.01,0.39,-0.47
